ogno,ogtype,ogname,ogcity,ogstate,ogpin,ogadd
5304,Hospital,Dr. Mahajan`S Hospital and Industrial Trauma Centre,Thane,Maharashtra,400708,"R-831, T.T.C, Thane Belapur Road, Rabale, Navi Mumbai,"
5305,Hospital,Dr. Mahendra Shahs Hospital,Anand,Gujarat,388001,"Opposite C P College, Bhalej Road"
5306,Hospital,Dr. Mahesh Rathod Hospital - Rajkot,Rajkot,Gujarat,360001,"1, Sardarnagar, Near Astrom Chowk"
5307,Hospital,Dr. Maheshwari`S Hospital,Aligarh,Uttar Pradesh,202001,"Sasni Gate,"
5308,Hospital,Dr. Maindarkar Paed. Hospital,Latur,Maharashtra,413512,"R-3 / 1246, Mitra Nagar,"
5309,Hospital,Dr. Mainkar Hospital,Pune,Maharashtra,412301,"Main Road Saswad,"
5310,Hospital,Dr. Malay D. Patel Hospital,Ahmedabad,Gujarat,380009,"90-B, Swastik Society, Nr Swastik Cross Roads, Navrangpura."
5311,Hospital,Dr. Malay`S Hospital and Neurosciences Centre,Darjeeling,West Bengal,734005,"Beside Fire Brigade Station, Near Jalpaimore, S.F. Road,"
5312,Ortho Hospital,Dr. Mali Fracture and Orthopaedic Hospital,Raigarh,Maharashtra,402104,"Nizampur Road, Mangaon"
5313,Nurshing Home,Dr. Mallappa Meternity Nursing Home,Gadag,Karnataka,582209,Rona
5314,Nurshing Home,Dr. Malwankar's Romeen Nursing Home,Mumbai,Maharashtra,400078,"Gr.Floor,Gautam Dham Society, Opposite Gama House, Bhandup (W), Mumbai"
5315,Hospital,Dr. Maniars Ent Hospital,Junagadh,Gujarat,362001,"Star Complex, Iind Floor, S.T. Road"
5316,Nurshing Home,Dr. Manik Chandra Nandys Nursing Home,Bankura,West Bengal,722101,Pratapbagan Bankura
5317,Hospital,Dr. Manish Ravals Hospital,Ahmedabad,Gujarat,380013,"5Th Floor, Bodycare Medical Centre, Juna Wadaj"
5318,Ortho Hospital,"Dr. Manoj Shah , Fractureaccident - Orthopaedic",Mumbai,Maharashtra,400064,"A/2 Shriniwas Apartment, 78, S.V. Road Malad (W) Mumbai"
5319,Hospital,Dr. Manoj Tank E.N.T. Hospital,Ahmedabad,Gujarat,380007,"Agrawal Chamber,2Nd Floor.Opposite Town Halll,Asharam Road"
5320,Hospital,Dr. Manseta Ent Hospital Pvt. Ltd.,Ahmedabad,Gujarat,380006,"Ellisbridgre Shopping Centre, 25, 1St Floor, Opposite Town Hall, Ashram Road, Ellisbridge"
5321,Hospital,Dr. Masurkar Hospital,Mumbai,Maharashtra,400101,"Sukhsagar Bldg, 1St Floor,Near Prem Ashram,Akurli Cross Road,No.1,Kandivli East"
5322,Hospital,Dr. Meenakshi Jain Hospital,Jind,Haryana,126102,"55/6, Gandhi Nagar, Near Telegraph Office"
5323,Nurshing Home,Dr. Meera Nursing Home,Chennai,Tamil Nadu,600010,"142/9, Akshaya Building, Purasawalkam High Road, Kellys"
5324,Nurshing Home,Dr. Mehta Surgical and Paediatric Nursing Home,Nagpur,Maharashtra,440010,"11,Shankar Nagar,West High Court Road,Nagpur"
5325,Hospital,Dr. Mehta`S Hospitals Pvt Ltd,Chennai,Tamil Nadu,600031,"No.2 (E), Mcnichols Road, 3 Lane, Chetpet,"
5326,Hospital,Dr. Mhaskar Hospital and Intesive Cardiac Care Unit,Sindhudurg,Maharashtra,416602,"Railway Station Road, Kankavli"
5327,Hospital,Dr. Millwala Children Hospital,Panchmahal,Gujarat,389001,"Nr. Vishwakarma Chowk, Savalivad, Godhra"
5328,Nurshing Home,Dr. Mittal`S New Health Care Nursing Home,Thane,Maharashtra,400601,"Satellite Park, Near Green Court Club, Hatkesh, Mira Rd, (E) Mumbai Thane"
5329,Hospital,Dr. Modis Medical Hospital,Mahesana,Gujarat,384001,Pilajiganj First Floor Behind Bank Of Baroda A.T & Post
5330,Hospital,Dr. Modi's Medical Hospital,Mahesana,Gujarat,384002,"2A, Virnagar Society, S.T. Workshop Road, At & Post"
5331,Hospital,Dr. Mody Hospital,Rajkot,Gujarat,360001,"Near Moti Tank,"
5332,Nurshing Home,Dr. Mohan Nursing Home,Bengaluru Urban,Karnataka,560035,"Kaikondrahalli Bus Stop, Sarjapur Road, Banglore"
5333,Hospital,Dr. Mokashi Hospital,Pune,Maharashtra,410502,"Mangalwar Peth, Junnar"
5334,Hospital,Dr. Mrs. Chander Hospital,S.A.S Nagar,Punjab,140507,"Adarsh Nagar, Derabassi,"
5335,Hospital,Dr. Muddebihalkar Hospital and Iccu,Thane,Maharashtra,400604,"Silver Park, Road No. 3, Wagle Estate, Thane (W)"
5336,Hospital,Dr. Mukhis Raj Hospital,Mumbai,Maharashtra,400080,"Jalaram Ashish, Ist Floor Devidayal Road Mulund(W)"
5337,Hospital,Dr. Mukundan`S Bhaskar Hospital,Kanniyakumari,Tamil Nadu,629252,"Main Road, Manavalakurichy,"
5338,Hospital,Dr. Munir Bangi Hospital,Vijayapura,Karnataka,586104,Near Hotel Samrat Station Road
5339,Hospital,Dr. Munshi Hospital,Vadodara,Gujarat,390001,"Girdhar Nivas, Opp Usha Kiran,Near Bank Of India, Raopura"
5340,Hospital,Dr. Murugesan Hospital,Villupuram,Tamil Nadu,606202,"Sundara Vinayakar Koil Street,Near Mahalakshmi Theater."
5341,Ortho Hospital,Dr. Muthu's Ortho Centre-Coimbatore,Coimbatore,Tamil Nadu,641045,"687,Trichy Road,Ramanathapuram, Opposite Alvernia School"
5342,Hospital,Dr. Muthusamy Hospital,Virudhunagar,Tamil Nadu,626001,"20/1,Link Roadm"
5343,Hospital,Dr. N. M. Lakhani S Hospital,Junagadh,Gujarat,362001,Railway Station Road
5344,Nurshing Home,Dr. N.R. Deshpande Maternity and Surgical Nursing Home,Belagavi,Karnataka,590001,City Plaza Samadevi Galli
5345,Nurshing Home,Dr. Nagavekar Hospital and Nursing Home,Sindhudurg,Maharashtra,416602,Vidhya Nagar Kankavli Sindhudurg
5346,Nurshing Home,Dr. Nakhwa Hospital Maternity Sugical Nursing Home,Raigarh,Maharashtra,400702,"Union Bld Kotnaka Uran, Raigard"
5347,Hospital,Dr. Nambiyappan Hospitals,Tirunelveli,Tamil Nadu,627002,"10-B/1H/4, T.V.M Road, Vannarpettai ( Behind Iskcon Temple), Tirunelveli"
5348,Hospital,Dr. Nandgaonkar Hospital,Raigarh,Maharashtra,402301,"C. Shivaji Road, Opposite Lic Building, Mahad"
5349,Hospital,Dr. Nandini Athavales Hospital For Children And Ne,Jalgaon,Maharashtra,425001,"Sneha, Jilha Peth, Near State Bank Of India"
5350,Hospital,Dr. Nandlal Hospital And Research Centre,Ajmer,Rajasthan,305001,"B-34, Near Badhir Vidhyalaly, Vaishali Nagar"
5351,Nurshing Home,Dr. Narendra Mohan Singh Clinic and Nursing Home,Ghaziabad,Uttar Pradesh,245101,"Railaway Road, Hapur"
5352,Hospital,Dr. Naresh Grover Hospital,Amritsar,Punjab,143001,"Near Beems Hospital,Adj. Government Eye & Ent Hospital,Majitha Road"
5353,Hospital,Dr. Naresh Hospital and Heart Centre,Barnala,Punjab,148101,"Kacha College, Barnala"
5354,Nurshing Home,Dr. Navadgi Nursing Home,Belagavi,Karnataka,591126,Dr Navadagi Nursing Home Near Bus Stand Savandatti
5355,Hospital,Dr. Nawal Kishore Hospital,Agra,Uttar Pradesh,282001,Agra
5356,Hospital,Dr. Nayyar`S Hospital,Faridabad,Haryana,121001,"Plot No 2-A, Fruit Garden Nh-5,N.I.T (Behing Greeen Automobile S Station, Railway Road"
5357,Hospital,Dr. Nikam Patil Hospital,Satara,Maharashtra,415523,"Surgical Center, Maternity & Nursing Home Super Market, Phaltan"
5358,Hospital,Dr. Nitin Rathi Hospital - Solapur,Solapur,Maharashtra,413002,"647,P Mangalwar Peth Tilak Chowk"
5359,Hospital,Dr. Nukapur Hospital,Kolar,Karnataka,563101,"Hruthik Mansion, Sharda Talkies Road Near K.S.R.T.C. Bus Stand"
5360,Nurshing Home,Dr. O.P.Mewara S Nursingh Home,Sirohi,Rajasthan,307027,"Kalapura Road, Sheoganj"
5361,Hospital,Dr. Olavo Ribeiro Hospital,North Goa,Goa,403507,"Near, Alankar Cinema"
5362,Hospital,Dr. Oza`S Hospital,Raigarh,Maharashtra,410206,"Ground Floor, Guru Ganesh Building,Savarkar Chowk,Panvel,Navi Mumbai"
5363,MultiSpeciality Hosp,Dr. P. Kumar Multispeciality Hospital,Ludhiana,Punjab,141001,"Moti Nagar,Ludhiana"
5364,Hospital,Dr. P.R. Desai Hospital Pvt Ltd,Bengaluru Urban,Karnataka,560001,"6/6 Kumarakrupa Road OppositeShivananda Circle, High Grounds"
5365,Nurshing Home,Dr. Padmaja Fertility Centre and Nursing Home,Hyderabad,Telangana,500007,"Near Tvs Show Room, St No-7, Habsiguda"
5366,Hospital,Dr. Pakkai Memorial Hospital,Ernakulam,Kerala,683579,Kurumassery
5367,Hospital,Dr. Pandes Hospital,Udham Singh Nagar,Uttarakhand,262401,"Chakarpur Road, Bazpur (U. S. Nagar)"
5368,Hospital,Dr. Pandey Hospital and Surgical Center,Agra,Uttar Pradesh,282001,"Kheria More,Ajeet Nagar"
5369,Hospital,Dr. Panicker`S Sanjeevani Hospital Pvt. Ltd.,Jaipur,Rajasthan,302016,"F-58, Kalidas Marg, Bani Park, Jaipur"
5370,Hospital,Dr. Pannalal Hospital And Research Centre Ltd. - Aligarh,Aligarh,Uttar Pradesh,202001,"Ramghat Road, Civil Lines"
5371,Nurshing Home,Dr. Paradkars Maternity and General Nursing Home - Thane,Thane,Maharashtra,400602,"Dipalaya Bhaskar Colony, M.G.Road, Naupada, Thane (West)"
5372,Nurshing Home,Dr. Paralkars Shree Surgical and Maternity Nursing Home - Malad (W),Mumbai,Maharashtra,400064,"Ashwin B, 27/1, Marve Roadnear Choksey Municipal Maternity Hospital"
5373,Ortho Hospital,Dr. Pareek Orthopaedic Hospital and Trauma Center,Tonk,Rajasthan,304502,"205, Near Panduk Shila, Opposite Shiv Mandir, Jaipur Road, Malpura"
5374,Hospital,Dr. Pareeks Deafness Clinic and Ent Hospital - Andheri,Mumbai,Maharashtra,400053,"Yashodhan Apt. No.1, Four Bunglows, Next To Four Bunglows Signal, Andheri (W), Mumbai"
5375,Nurshing Home,Dr. Parikhs Nursing Home and Iccu - Vashi,Thane,Maharashtra,400703,"20,30 & 31, Mahavir Centre, Sector 17"
5376,Hospital,Dr. Parminder Singh Pannu Memorial Janta Hospital,Amritsar,Punjab,143001,"Opposite Central Jail, Ajnala Road, Amritsar,"
5377,Hospital,Dr. Parmod Jain Hospital - Barnala,Firozpur,Punjab,152001,"Near Government Boys High School, Barnala"
5378,Nurshing Home,Dr. Patel Nursing Home,Mumbai,Maharashtra,400058,"4,Bungalow Andheri,West"
5379,Hospital,Dr. Patil's Hospital,Raigarh,Maharashtra,410206,"Aditya, Plot No. 102/5, Near Otel Garden, Thana Naka, Panvel"
5380,Hospital,Dr. Patolia Surgical and Maternity Hospital,Amreli,Gujarat,365601,Opposite S.T. Depot
5381,Nurshing Home,Dr. Pattnaiks Nursing Home,Mumbai,Maharashtra,400050,"1 Flr,Kakad Apartments, 4 Pali Road, Bandru West. Bandra (W)"
5382,Hospital,Dr. Pawans Hospital - Budhlada,Mansa,Punjab,151502,Bhikhi Road
5383,Hospital,Dr. Phapale Hospital,Pune,Maharashtra,412409,"Near P.D.C.C. Bank, Jijamata Complex Otur Tal. Junnar"
5384,Hospital,Dr. Pinnamaneni Siddhartha Institute Of Medical Sciences Hospital / Dr. Psims Hospital,Krishna,Andhra Pradesh,521286,"Chinontapally, Gannavaram Mandal,Krishna rict"
5385,Hospital,Dr. Prabhudayal Arya Hospital,Palwal,Haryana,121102,"Aligarh Road, Palwal"
5386,Nurshing Home,Dr. Praful Munshi Nursing Home,Aurangabad,Maharashtra,431001,"Pritamnagar, Ellisbridge, Ahmednagar"
5387,Nurshing Home,Dr. Prakash Doshis Fracture and Orthopaedic Nursing Home - Ghatkopar,Mumbai,Maharashtra,400077,"Neelkanth Market, M.G.Road, Ghatkopar (E), Mumbai"
5388,Nurshing Home,Dr. Pratibha Garg Nursing Home,Pali,Rajasthan,306401,"111 Veer Durgadas Nagar Lodha School,S Front Palli Marwar"
5389,Hospital,Dr. Prem Rai Hospitals Pvt. Ltd.,Amritsar,Punjab,143001,"Mall Road, Amritsar,"
5390,Hospital,Dr. Prithipal Memorial Hospital,Faridkot,Punjab,151204,"Old Grain Bazar, Satta Bazar, District Faridkot, Kotakpura,"
5391,Nurshing Home,Dr. Priyas Sai Niwas Maternity and Surgical Nursing,Thane,Maharashtra,400601,"28/29,A Bldg., C Wing Hira Moti Complex, Shivaji Nagar, Wagle Estate, Thane"
5392,Hospital,Dr. Purnachander Memorial Hospital,Karimnagar,Telangana,505301,"H No. 3-2-72, Purnachander Nagar, Sircilla,"
5393,Hospital,Dr. R L Hospital,Raigarh,Chhattisgarh,496001,0
5394,Hospital,Dr. R. D. Ghodasara Hospital,Amreli,Gujarat,365601,"Doctor House, College Road"
5395,Ortho Hospital,Dr. R. G. Rupala Ortho Hospital - Morbi,Rajkot,Gujarat,363641,"16, Savsar Plot, Sanala Road, Opposite Jain Upashary"
5396,Nurshing Home,Dr. R. K. Nursing Home,Thanjavur,Tamil Nadu,613001,"29-A, Shivaji Nagar, Thanjavur"
5397,Nurshing Home,Dr. R. N. Shetty's Nursing Home,Mumbai,Maharashtra,400050,"Hill - N - Dale Building, Hill Road, Near Bandra Police Station, Bandra (West)"
5398,Nurshing Home,Dr. R.J. Ganatra's Nursing Home,Mumbai,Maharashtra,400080,"Omkarlal Building, Opposite Rly Station, S V P Road, Mulund (West),"
5399,MultiSpeciality Hosp,Dr. R.N. Patil`S Suraj Neurologiacal and Multispeciality Hospital,Thane,Maharashtra,400705,"Plot No.-1&1A, Sun Palm View Bldg., Sanapada, Sector-15, Navi Mumbai,"
5400,Hospital,Dr. Raghoji Kidney Hospital and Research Centre Pvt. Ltd.,Solapur,Maharashtra,413002,"No. 146/2, Railway Lines,Near Old Rto Office,"
5401,Nurshing Home,Dr. Rahul Hospital(Hira Lal Nursing Home),Bijnor,Uttar Pradesh,246701,"Dr. Rahul Hospital,Mukherji Park (Hira Lal Nursing Home)"
5402,Hospital,Dr. Rahul Mittal Memorial Hospital,Panipat,Haryana,132103,"Dr. Rahul Mittal Memorial Hospital, 316,Model Town"
5403,Hospital,Dr. Rajehwari Kulkarni Surgical Hospital And Dia,Raipur,Chhattisgarh,492001,"Sector-1, B/15, Devendra Nagar"
5404,Nurshing Home,Dr. Rajendra C. Patel Orthopaedic Nursing Home,Ahmedabad,Gujarat,380009,"7, Rashmi Society, Mithakhali, Navrangpura"
5405,Hospital,Dr. Rajiv Thakores Hospital,Ahmedabad,Gujarat,380006,"Anand Park, Near Amrut Jyoti School,Ambawadi"
5406,Nurshing Home,Dr. Rakesh Agarwal Nursing Home,Ujjain,Madhya Pradesh,456010,"101, Alakh Dhaun, Gordhan Dhaun Nagar., Ujjain"
5407,Ortho Hospital,Dr. Rakesh Gupta Orthopaedic Surgeon,Morena,Madhya Pradesh,476001,"Nehru Park Road, Mill Area Morena"
5408,Nurshing Home,"Dr. Rakesh Taneja,S Nursing Home",Ghaziabad,Uttar Pradesh,201001,"J-70, Patel Nagar-I,"
5409,Hospital,Dr. Ram Saran Garg Indo-German Medical Centre / Dr. Ramadas Pandit Memorial Hospital,Ghaziabad,Uttar Pradesh,201009,Kazipura Dasna Road Behind Akg Engg. College
5410,Nurshing Home,Dr. Rama Bhatnagar Nursing Home,Lucknow,Uttar Pradesh,226001,"Baldikhera, Kanpur Road, Lucknow"
5411,Hospital,Dr. Ramabai Memorial Lifeline Cristian Hospital and Research Centre,Anuppur,Madhya Pradesh,484001,Burhar Road
5412,Hospital,Dr. Ramadoss Hospital,Villupuram,Tamil Nadu,604001,"229,J.N. Street,."
5413,Hospital,Dr. Ramakant Patil Hospital,Jalgaon,Maharashtra,425001,"No. 89, Housing Society,Opposite T. Nutan Maratha College Behind District Court,"
5414,Nurshing Home,Dr. Ramalakshmi Nursing Home,Chittoor,Andhra Pradesh,517001,"No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,"
5415,Hospital,Dr. Ramaswamy Hospital,Erode,Tamil Nadu,638455,"Sathy Main Road, Kavindapadi, Erode"
5416,MultiSpeciality Hosp,Dr. Ramesh Cardiac and Multi Speciality Hospital Limited,Krishna,Andhra Pradesh,520008,"Opposite Polytechnic Post Office Ring Road,Near I.T.I. College, Kaladarsini Road"
5417,Hospital,Dr. Ramjass Hospital,Rewari,Haryana,123401,"Near Railway Station, Circular Road"
5418,Nurshing Home,Dr. Rana Nursing Home,Navsari,Gujarat,396445,In Front Of Railway Station
5419,Hospital,Dr. Rani Ghai Hospital Pvt. Ltd.,Ghaziabad,Uttar Pradesh,201001,"B-22, Sector-09, New Vijay Nagar"
5420,Nurshing Home,Dr. Raut`S Maternity and Surgical Nursing Home,Mumbai,Maharashtra,400055,"Karlton Apts, Vakola Village Road, Vakola Santacruz (E), Mumbai"
5421,Hospital - Critical Care Dept,Dr. Ravi Khanna's New Born Child and Critical Care Centre -Bareilly,Bareilly,Uttar Pradesh,243001,"35 - Z - 1, Rampur Garden Opposite Durga Wari"
5422,Nurshing Home,Dr. Ravi Mohan Clinic and Nursing Home,Rohtak,Haryana,124001,"223, Subhash Nagar"
5423,Nurshing Home,Dr. Ravi Nursing Home,Gajapati,Odisha,761200,"Gajapati Marg,Po: Parlakhemundi"
5424,Hospital,Dr. Ravi Vermas Hospital,Hisar,Haryana,125001,"Ent Hospital,Speech & Hearing Centre,Near Sewak Sabha Hospital,Opp Dhobhi Ghat"
5425,Nurshing Home,"Dr. Ravi,S Clinic Nursing Home andNew Born Centre",Thane,Maharashtra,400601,D-0/002 Santoor Ground Flr. Lokpuram Off. 2Nd Pokhran Rd. Thane (W)
5426,Nurshing Home,Dr. Rukmani Nursing Home,Dehradun,Uttarakhand,248001,"11/9 Rajpur Road, Dehradun"
5427,Hospital,Dr. S B Gugle Memorial Hospital,Latur,Maharashtra,413531,"Opp Ldcc Bank,Main Road, Latur"
5428,Nurshing Home,Dr. S K Agarwal Nursing Home,Bareilly,Uttar Pradesh,243001,"200, Premnagar, Bareilly"
5429,Nurshing Home,Dr. S M Patil Medical Nursing Home,Nagpur,Maharashtra,440010,Yudghrama Complex 2Nd Floor Ramdaspeth Nagpur
5430,Hospital,Dr. S N Mandloi Memorial Hospital,Neemuch,Madhya Pradesh,458441,"Fawara Chowk,Neemuch"
5431,Hospital,Dr. S S Sawhney Hospital,Rupnagar,Punjab,160071,"K. No. 1722, 3-B/2, Mohali,"
5432,Hospital,Dr. S. K. Panduranga Rao Hospital,Ballari,Karnataka,583101,"3Rd Cross, Satyanarayana Pet"
5433,Hospital,Dr. S. V. R. Hospital,Y.S.R.,Andhra Pradesh,516360,"3/1471, Opposite Super Bazar Road, Gandhi Road"
5434,Hospital,Dr. S.P.Yadav Hospital,Rewari,Haryana,123401,"Kanod Gate, Circular Road"
5435,Nurshing Home,Dr. Sabnis Maternity and Nursing Home,Mumbai,Maharashtra,400081,"Ground Floor, Saurabh V.B. Phadke Rd, Gavanpada, Mulund (E), Mumbai,"
5436,Nurshing Home,Dr. Sadiwalas Clinic and Nursing Home,Mumbai,Maharashtra,400056,"A-4/5/6 Majithia Apts. S.V. Road,Irla, Vile Parle (West)"
5437,Ortho Hospital,Dr. Saklanis Ortho Care And Rehabilitation Centre,Udham Singh Nagar,Uttarakhand,262401,"Near Dr. Pandeys Hospital, Chakrapur Road, Bazpur"
5438,Hospital - Critical Care Dept,Dr. Saleems Iccu and Critical Care Nusing Home,Bilaspur,Chhattisgarh,495001,"Christian Colony Road, Raja Talab,"
5439,Ortho Hospital,Dr. Sandeep Bhagwat Orthopedic Hospital,Raipur,Chhattisgarh,492001,"B-20, Ravi Nagar, Near Bus Stand, Pandri"
5440,Hospital,Dr. Sanjay Gosavi Children Speciality Hospital,Nashik,Maharashtra,422008,"Dnyanada Building,Near Hotel,New Padma,Kamatwade"
5441,Hospital,Dr. Sankhe Hospital,Thane,Maharashtra,400602,"Vishwakarma Nagar, Phase -11,Ambadi Road, Vasai (W) Thane"
5442,Hospital,Dr. Sapatnekar Hospital I.C.C.U And Polyclinic,Thane,Maharashtra,400602,"Mahadev Tower, 1St Floor, Lbs Marg, Near Hari Niwas Circle, Near Hari Niwas Circle, Naupada, Thane West"
5443,Nurshing Home,Dr. Sarkar`S Nursing Home,Agra,Uttar Pradesh,282001,"Delhi Gate, Agra-2"
5444,Nurshing Home,Dr. Sarna Nursing Home,Raipur,Chhattisgarh,492001,"C 160 Katora Talab Main Road, Sailendra Nagar"
5445,Hospital,Dr. Saroj Tamboli Memorial Hospital,Raigarh,Maharashtra,402201,"Dr. B.T. Road, Ramnath At-Post-Chendhare,Near Mahesh Theatre"
5446,Hospital,Dr. Sarojini Modi Hospital,Gulbarga,Karnataka,585102,Court To S.B Temple Road
5447,Hospital,Dr. Sarojini Sinha Memorial Shiv-Shakti Hospital,Patna,Bihar,800001,East Boring Canal Road
5448,Hospital,Dr. Satbir Dahiya Surgical Hospital,Sonipat,Haryana,131001,Kharkhoda
5449,Hospital,Dr. Satya Pal Mittal Hospital,Moga,Punjab,142001,"Opposite Railway Station, Railway Road, Moga"
5450,Ortho Hospital,Dr. Saurabh Shah Orthopaedic Hospital,Ahmedabad,Gujarat,380013,"3B, Hasmukh Colony, Nr. Vijay Nagar Petrol Pump, Vijay Nagar Road, Naranpura"
5451,Nurshing Home,Dr. Savlas Polyclinic And Nursing Home - Mumbai,Mumbai,Maharashtra,400086,"B - 6 / 7 Ist Floor, Dharmodaya, Jeevdaya Lane, Ghatkopar (West)"
5452,Hospital,Dr. Sawai Maternity and Children Hospital,Amravati,Maharashtra,444601,"Near Prashant Nagar Bridge, Narayan Nagar, Amravati"
5453,Hospital,Dr. Sengottayan Hospital,Coimbatore,Tamil Nadu,641012,"454,Dr. Radhakrishna Road,Tatabad"
5454,Hospital,Dr. Setias Bone and Joint Hospital,Ganganagar,Rajasthan,335001,2-D-39-Jawahar Nagar
5455,Hospital,Dr. Shailesh Shah Surgical Hospital and End. Clinic,Ahmedabad,Gujarat,380022,"3 Vijay Tower, Opposite Abad Dairy, Kankaria"
5456,Hospital,Dr. Sharmas Hospital,Amritsar,Punjab,143001,"108, Gurbax Nagar,"
5457,Nurshing Home,Dr. Shastri Laparoscopic Nursing Home,Meerut,Uttar Pradesh,250001,"Near Circuit House, Civil Lines, Meerut"
5458,Hospital,Dr. Shendges Siddhivinayak (Om Gangangiri) Hospital,Thane,Maharashtra,400709,"Near Rajandevi Mandir, Sector 19, Near Shiv Sena Office, Koparkhairane"
5459,Nurshing Home,Dr. Sheth Surgical Clinic andGeneral Nursing Home- Santacruz-Mumbai,Mumbai,Maharashtra,400055,"3/15,Santacruz Mansion, Ground Floor, Nehru Road, Santacruz (E) Mumbai"
5460,Hospital,Dr. Shindes Childrens Hospital And Nicu,Mumbai,Maharashtra,400060,"004/C-2, Satellite Classic, Caves Road, Opposite, Jogeshwari Railway Station, Jogeshwari (E), Mumbai"
5461,Hospital,Dr. Shiromani Hospital,Haridwar,Uttarakhand,247667,"Opposite Nehru Stadium, Near Durga Chowk Roorkee"
5462,Hospital,Dr. Shobha Memorial Hospital,Shahdol,Madhya Pradesh,484001,"Near Bodar Chowk Sinhpur Road,Shahdol"
5463,Hospital,Dr. Shobha Verma Hospital,Pali,Rajasthan,306701,"Hospital Road, Bali"
5464,Hospital,Dr. Shukla Shraddha Hospital,Jamnagar,Gujarat,361005,Nr. S.T. Stand Street Opposite Akshar Travel Lakeside
5465,Hospital,Dr. Shurti Ent Hospital,Ahmedabad,Gujarat,380008,"2Nd Floor Akash Compelx,Maninagar Station Road"
5466,Hospital,Dr. Siri Ram Hospital,Faridkot,Punjab,151203,"Kamiana Gate, Faridkot,"
5467,MultiSpeciality Hosp,"Dr. Sodhi's Health Care, Multispeciality Hospital- Mohali",Rupnagar,Punjab,160062,"1524, Sector-69,  Scf-16, 3B2 Mohali"
5468,Hospital,Dr. Soodamani Hospital,Salem,Tamil Nadu,636016,"F-92,Greenways Road,Fairland,Salem"
5469,MultiSpeciality Hosp,Dr. Sreedhar S Kidney Centre and Multi Speciality Hospital,Hyderabad,Telangana,500008,"13-6-437/1L/1, Opp Nalanda Public School Nanal Nagar X Road Khaderbagh, Mehdipatnam"
5470,Hospital,Dr. Srinivasan Hospital,Nagapattinam,Tamil Nadu,609001,"Mayiladuthurai,"
5471,Nurshing Home,Dr. Sundeep D. Jadhav`S Nursing Home,Thane,Maharashtra,421301,"Jamuna Bldg., Ground Floor, Santoshi Mata Mandir Road, Opposite Vikas Apartment, Kalyan (W)"
5472,Hospital,Dr. Sunil Jadhav Hospital,Ahmednagar,Maharashtra,414001,"Chaupati Karanja,Near Samarth School."
5473,Hospital,Dr. Sunil K Choksi Hospital,Valsad,Gujarat,396001,A-8 Ridhi Sidhi Opp Vasant Talkies
5474,Hospital,Dr. Suresh Yadav Hospital,Bharatpur,Rajasthan,321001,"115, Krishna Nagar, Bharatpur"
5475,Hospital,Dr. Susheela Tiwari Memorial Forest Hospital,Nainital,Uttarakhand,263139,Dr. Susheela Tiwari Memorial Forest Hospital Haldwani Nainital
5476,Nurshing Home,Dr. Sushil D Nakhates Child Care Centre and Shruti Nursing Home,Mumbai,Maharashtra,400017,"112,B-Wing & 101, A-Wing, Sankalpana, Corner Of 90 Ft. Road & Sion-Bandra Link Road, Dharavi"
5477,Hospital,Dr. T.V.Ramesh Piles Hospital,Bengaluru Urban,Karnataka,560032,"1st Main Road, 7th Cross, Ganganagar"
5478,Hospital,Dr. Tank`S E.N.T Hospital,Ahmedabad,Gujarat,380006,"Agrawal Chambers, 2Nd Floor, OppositeTown Hall, Ashram Rd,Ellisbridge"
5479,Hospital,Dr. Thakurs Ear Nose Throat Clinic And Hospital - Bhandup (W) Mumbai,Mumbai,Maharashtra,400078,"100 A Rr Realty, Lbs Marg, Bhandup (W)"
5480,Hospital,Dr. Thakur's Shree Hospital,Thane,Maharashtra,400604,"Sukh Laxmi 1St & 2Nd Floor Shree Nagar Opp Tata Fision, Wagle Estate"
5481,Nurshing Home,Dr. Thomas`S Cantoment Poly Clinic andNursing Home,Bengaluru Urban,Karnataka,560005,"No.64, Spencer Road, Near Coles Park, Frazer Town"
5482,Hospital,Dr. Tidke Hospital,Mumbai,Maharashtra,400043,"Bldg No:23/695, P.M.G.P Coloney Mankhurd (W)"
5483,Nurshing Home,Dr. Tilwe Maternity and Nursing Home,Thane,Maharashtra,400705,"102/A, Anand Sagar, Abhyudaya Bank Marg, Sector-17, Vashi, Navi Mumbai"
5484,Nurshing Home,Dr. Tiwaris Maternity And Nursing Home,Raipur,Chhattisgarh,492001,Civil Lines
5485,Hospital,Dr. Tongaonkar Hospital,Dhule,Maharashtra,425408,"Dondaicha, Dhule"
5486,Hospital,Dr. Totla Hospital,Aurangabad,Maharashtra,431005,"29, Venkateshnagar Mehesh Nagar Road Opposite Jalna Road Aurangabad"
5487,Hospital,Dr. Trivedis Arthroscopy Clinic And Hospital,Ahmedabad,Gujarat,380015,"201, Aasthan Complex, Opposite Polytecnic,Anbawadi"
5488,Hospital,Dr. Turna Surgical Hospital,Udham Singh Nagar,Uttarakhand,262405,"Kichha Road, Sitarganj, Udhamsinghnagar, Uttaranchal"
5489,Hospital,Dr. U. Mohan Rau Memorial Hospital - Chennai,Chennai,Tamil Nadu,600084,"962, Poonamallee High Road, Near Egmore Over Bridge"
